id,product_name_edited,category_edited,category_description_edited,product_description,price,location
243809c0-9cfc-4486-ad12-3b7a16605ba9,Mirror wall art ,Home   Garden , Dining  Living Room Furniture   Mirrors  Clocks   Ornaments,Mirror wall art  Posted by Nisha in Dining  Living Room Furniture  Mirrors  Clocks   Ornaments in Wokingham     February     Size   x  cm,5.0,Wokingham  Berkshire
1c58d3f9-8b93-47ea-9415-204fcc2a22e6,Stainless Steel Food Steamer ,Home   Garden , Other Household Goods,Morphy Richard s  model no       Stainless steel   tier stackable food steamer  litre capacity     litre rice tray Easy clean and can be used in dishwasher Ideal for family cookingServes up to   personBrand New   never used Still in original packaging ,20.0,Inverness  Highland
860673f1-57f6-47ba-8d2f-13f9e05b8f9a,Sun loungers ,Home   Garden , Garden   Patio   Outdoor Settings   Furniture,I have   of these   collection only as I don t drive      Ono ,20.0,Skegness  Lincolnshire
59948726-29be-4b35-ade5-bb2fd7331856,Coffee side table from Ammunition ammo box hairpin legs ,Home   Garden , Dining  Living Room Furniture   Other,Great reclaimed army ammunition box used as coffee side table Original text detail  latch s  leather handle  metal corners   Fantastic patina  Real statement piece this is a one off as no two boxes the same Black steel   prong hairpin legs Total    cm      cm  wide   cm    in  long   cm      inch  high Box  inch   cm deep Black Hairpin legs   cm    inch  they come with floor protectors if wanted   Collection Kilmersdon Somerset BA  TD  can deliver locally for small fee ,115.0,Radstock  Somerset
16dbc860-696e-4cda-93f6-4dd4926573fb,Modern Shannon Sofa for sale at low cost ,Home   Garden , Dining  Living Room Furniture   Sofas  Armchairs   Suites   Private,New Design Shannon Corner sofa    Seater Available   Factory Sell Price  New Amazing Design    Shannon Sofa Available    Seater or   Seater Sofa Available      Seater Sofa Available     Delivery All Uk    Deliver   to   days    ,450.0,Delph  Manchester
5707be4f-49d9-4feb-b2c8-aa0868405c65,Spotlights ,Home   Garden , Other Household Goods,New in box not needed Spotlights   Posted by sue in Home   Garden  Other Household Goods in Newent     February     ,9.0,Newent  Gloucestershire
d2244a7b-aef4-4495-aff7-0c55bf512d6e,  White Wardrobe  Brand new Wardrobe For sale in Black White Grey Colour   Mirrored Wardrobe   ,Home   Garden , Beds   Bedroom Furniture   Wardrobes  Shelving   Storage   Private,   Call Dustin                Same Day Or any other day Delivery anywhere in London      Miles Outside London   Pay on Arrival for peace of your mind  Marsylia wardrobe provides huge storage space to keep everything well organized  It s available in a range of different colours  sizes and finishing  The first half of the wardrobe features hanging space and the other half entail shelves  You can also add some additional hanging rails and shelves to store the clothes just like you want   It features a full length mirror on one of its door allowing you to check how your outfit looks on you before you leave  The mirror reflects the light inside when you will place the wardrobe near a window to make your bedroom look spacious too   FEATURES OF MARCYLIA WARDROBE        High quality laminated board   Full length mirror door   It s resistant to damage  scratches  high temperatures   Entails built in LED Light   Customizable interior   Entails shelves and hanging rail   Stylish metal handles  metal runners and hinges    Classic neutral colour to suit all decors  COLOURS     Glossy  Black  White      DIMENSIONS     W    x D   x H    cm      door     cm width x    cm height x   cm depth   Price          Sliding door     cm width x    cm height x   cm depth    Price       DIVAN BEDS LTD     Building    Hopton Road  Woolwich  London  United Kingdom  SE    TL Company number                ,419.0,Huddersfield  West Yorkshire
485edc04-7bbc-430a-9430-f05a77f5a917,Letter cage ,Home   Garden , Other Household Goods,Selling for family member brand new too big for them as they are unable to open door when attached  ,10.0,Newent  Gloucestershire
7e538445-c75e-4802-8dc5-a9083a802278,Double Pine Bed Frame ,Home   Garden , Beds   Bedroom Furniture   Double Beds   Private,Double Pine bed frame good condition  Reasonable offer considered easy to assemble  Buyer to collect,50.0,Lytham St Annes  Lancashire
1a64843d-72f3-4141-946f-fa9b978fe755,Solid pine dining table and chairs ,Home   Garden , Dining  Living Room Furniture   Dining Tables   Chairs,Distressed solid pine table and   chairs In excellent condition as always been covered Table measures      cmx  cmTable doesn t dismantle so would require a van to pick up Could be delivered locally Open to sensible offers ,200.0,West Kilbride  North Ayrshire
ac514199-1ceb-4703-902d-4d8c55bea7e4,Vortex plush velvet corner or     sofa avialble fast delivery ,Home   Garden , Dining  Living Room Furniture   Sofas  Armchairs   Suites   Private,corner Dimension Width is    cm x    cmHeight is   cmDepth is   cm  Seater Measurements Length    cmHeight    cmDepth   cm  Seater MeasurementsLength    cmHeight   cmDepth   cmDepth of Seat is   cm to front of the pillowSofa is manufactured and produced in United KingdomDurable Construction,449.0,Wigan  Manchester
f36672f9-fbe5-40ac-8f5d-015c660c3304,Storage unit ,Home   Garden , Other Household Goods,Storage unit book shelf please see the photos for condition thanks please see other ads ,15.0,Midway  Derbyshire
5f5f57d7-778f-4336-bb10-b43863418c8c,King Size Pine Bedframe ,Home   Garden , Beds   Bedroom Furniture   Other Bedroom Furniture   Accs,Pine king sized Bedframe  originally from Ikea   I will disassemble it for you if needed  can do this before or after you arrive to collect if you d like to look at it first   Comes with all parts and assembly tools  I can also link a PDF to you of the instructions    Great condition  from a smoke and pet free home   Collection only  ,100.0,Hove  East Sussex
c2c8949f-3cde-4651-a234-4a4a1b2a9ad4,Decorative black iron water pump and sump pump ,Home   Garden , Garden   Patio   Outdoor Settings   Furniture,Working water pump and sump pump  Has been used some time ago but for several years kept in a garage  reasonable condition  Happy to take offers as it needs to go quickly due to the house being sold ,100.0,Loughborough  Leicestershire
8292aa4e-7f1b-4655-bf0e-f1f2c9e3ffaf,Marquee   Gazebo Hire ,Home   Garden , Garden   Patio   Outdoor Settings   Furniture,Ranges of sizes available Long and short term hire available Contact for more information,10.0,Downpatrick  County Down
a7500af0-25a1-447d-a67a-c575a82f0657,SOLD  Ceiling light ,Home   Garden , Dining  Living Room Furniture   Lighting   Fittings,Pewter ceiling light Ceiling light  Posted by Suzan in Dining  Living Room Furniture  Lighting   Fittings in Melrose     February     ,40.0,Melrose  Scottish Borders
53061acb-d253-41c2-8626-ea92e1f26c21,QUALITY   CALACATTA   MARBLE   CARRARA   WHITE   SPARKLY   SALE    GRANITE   QUARTZ Kitchen Worktops ,Home   Garden , Kitchenware   Accessories   Kitchen Storage   Other Kitchen Storage,   Top Quality Granite   Quartz kitchen  Worktops with our Factory being very Local to you      Areas covered   Surrey  Croydon  Hounslow  Twickenham  Ealing  Slough  Wembley  Harrow  Edgware  Barnet including all Home Counties      Finest Craftsmanship with very COMPETITIVE Quotes including Templating  Cutting  Delivery and Fitting      Quick Turn Around Lead times between     Business Days      Get in touch to get a Free No Obligation Quote       Please Send us your TELEPHONE Details on Information provided on the Advert for our Designers to contact you to Offer you a very Competitive QUOTE ,330.0,Ealing Broadway  London
2e39a64e-bbba-4da3-b760-f3fc26ec55de,Beige Lamp ,Home   Garden , Dining  Living Room Furniture   Lighting   Fittings,Beautiful tall beige lamp bought from next  Glass base in good condition  ,25.0,Musselburgh  East Lothian
a68bf37d-e00f-4a33-b39f-540dd1102d28,SOLD  Super King bed with storage ,Home   Garden , Beds   Bedroom Furniture   Other Bedroom Furniture   Accs,Super King bed in excellent condition  No marks  stains or rips  From a pet and smoke free home The divan base comes in two halves and has a sprung top for extra comfort  Each side of the bed there are two drawers  Four in total   Two full size drawers at the foot end and Two half size drawers at the head end to enable bedside cabinets to be used The headboard and divan bases are covered in a high quality chenille material  light beige sand in colour  Due to the material some of the bed pictures may look marked or discoloured  they are not  it s just shadows with how the light is catching the material  The bed sits on beach wood feet on all four corners with black supporting feet in other areas  not visible   The bed breaks down into three main components  the head board and then Two halves of the divan base  If wanted  you could technically split the bed in half and use the two divan bases as standard sized single beds  You would just need to add and adjust the feet The sizes are as follows  in Centimetres  Bed overall   L       W       H    Divan base   L       W       H   Divan base  single    L       W      H   Headboard   D     W       H    Full draw   D      W      H   Half draw   D      W      H   Please just ask if you have any questions  Priced low to sell fast  Thanks in advance ,100.0,Quedgeley  Gloucestershire
09d93644-3ce2-4781-8bfe-bb0aaa2cb70d,Bathroom cabinet ,Home   Garden , Dining  Living Room Furniture   Other,Cabinet has been upcycled from old dark wood cabinet it has been painted with professional furniture paint  two tone colours silver handles and aluminium legs also antique mirror on top  decorative wood for effect  it s very unusual a one off  ideal for old style bathroom   ,100.0,Whiteinch  Glasgow
